barcode	current_name	proposed_name	source	brand	chains	candidates
96619005246	מגבונים קירק לנד	מגבונים קירק לנד	trusted		1	מחסני השוק: מגבונים קירק לנד
96619005253	מגבונים קירק לנד מארז 9	מגבונים קירק לנד מארז 9	trusted		1	מחסני השוק: מגבונים קירק לנד מארז 9
96619279555	נוזל כביסה קירק לנד	נוזל כביסה קירק לנד	trusted		1	מחסני השוק: נוזל כביסה קירק לנד
96619512591	נייר מגבת פרימיום 12 גליל עובי משולש	נייר מגבת פרימיום 12 גליל עובי משולש	trusted		1	מחסני השוק: נייר מגבת פרימיום 12 גליל עובי משולש
966302	גבינה אמנטל פריקו	גבינה אמנטל פריקו	trusted	לא ידוע	1	"אלמשהדאוי קינג סטור בע""מ: גבינה אמנטל פריקו"
966663	טורטיה  במילוי	טורטיה  במילוי	trusted	יצור עצמי	1	מ. יוחננוף ובניו: טורטיה  במילוי
966774	פילה מושט ללא עור	פילה מושט ללא עור	trusted	דגים קפואים	1	"אבות אברהם בע""מ: פילה מושט ללא עור"
966885	אזני המן שוקולד	אזני המן שוקולד	trusted		1	מחסני השוק: אזני המן שוקולד
9669512591	נייר מגבת פרימיום 12 גליל	נייר מגבת פרימיום 12 גליל	trusted		1	מחסני השוק: נייר מגבת פרימיום 12 גליל
9670692118342	גומי לשון שיניים מפלצות	גומי לשון שיניים מפלצות	trusted		1	CITY_MARKET_SHOPS: גומי לשון שיניים מפלצות
96749000371	טקילה לונאזוטל פרימו	טקילה לונאזוטל פרימו	trusted		1	CITY_MARKET_SHOPS: טקילה לונאזוטל פרימו
967490011568	טקילה לונטזול	טקילה לונטזול	trusted		1	CITY_MARKET_SHOPS: טקילה לונטזול
967738	ווינר פוד	ווינר פוד	trusted	צירינה	1	מ. יוחננוף ובניו: ווינר פוד
967837	סלמון מנות קפוא צילה	סלמון מנות קפוא צילה	trusted	פיור נטור	1	מ. יוחננוף ובניו: סלמון מנות קפוא צילה
967981	פילה לברק קפוא 90% ד	פילה לברק קפוא 90% ד	trusted	"ש.רוזנרס בע""מ"	1	מ. יוחננוף ובניו: פילה לברק קפוא 90% ד
