slug	name_he	kind	chain_id	chain_name	barcode	chain_product_name	price	note
apple-pink	תפוח פינק ליידי	fruit	7290055700007	קרפור	7290000005621	תפוח קריפס פינק	15.9	קריפס פינק
apple-pink	תפוח פינק ליידי	fruit	7290526500006	Dabach	7290000001250	תפוח פינק	16.9	
apple-pink	תפוח פינק ליידי	fruit	7290700100008	חצי חינם	7290000014159	תפוח עץ קריפס פינק	17.9	קריפס פינק
apple-pink	תפוח פינק ליידי	fruit	7290492000005	Dor Alon	7290000041315	תפוח עץ פינק	19.9	
apple-smith	תפוח גרני סמית	fruit	7291059100008	פוליצר	7290008268202	תפוח סמיט ביס	5	סמיט ביס
apple-smith	תפוח גרני סמית	fruit	7290803800003	מ. יוחננוף ובניו	7290014480216	תפוח עץ סמיט ברשת	5.9	ברשת
apple-smith	תפוח גרני סמית	fruit	7290526500006	Dabach	7290000000275	תפוח גרנד ברשת	7.9	גרנד ברשת
apple-smith	תפוח גרני סמית	fruit	7290103152017	אושר עד	7290009001624	תפוח עץ סמיט ברשת	8.9	ברשת
apple-smith	תפוח גרני סמית	fruit	7290000000003	סיטי מרקט	100002	תפוח סמיט בחוץ	9.9	
apple-smith	תפוח גרני סמית	fruit	7290027600007	שופרסל	7290000913193	תפוח עץ סמיט פולין*	10.9	
apple-smith	תפוח גרני סמית	fruit	7290055700007	קרפור	7290000006189	תפוח עץ סמיט	12.9	
apple-smith	תפוח גרני סמית	fruit	7290700100008	חצי חינם	7290000014128	תפוח עץ סמיט	12.9	
apple-smith	תפוח גרני סמית	fruit	7290058140886	רמי לוי שיווק השקמה	7290000000116	תפוח עץ ירוק גרנד סמ	12.9	ירוק גרנד סמית
apple-smith	תפוח גרני סמית	fruit	7290492000005	Dor Alon	7290000041230	תפוח עץ סמיט	15.9	
avocado	אבוקדו	fruit	7290700100008	חצי חינם	7290000021010	אבוקדו ארוז ברשת	6.9	ארוז ברשת
avocado	אבוקדו	fruit	7290103152017	אושר עד	7290009005615	אבוקדו	8.9	
avocado	אבוקדו	fruit	7290058140886	רמי לוי שיווק השקמה	7290000000135	אבוקדו	8.9	
avocado	אבוקדו	fruit	7290803800003	מ. יוחננוף ובניו	7290000000606	אבוקדו	9.9	
avocado	אבוקדו	fruit	7290526500006	Dabach	7290000000045	אבוקדו	10.9	
avocado	אבוקדו	fruit	7290876100000	פרש מרקט	7290000999957	אבוקדו	12.9	
avocado	אבוקדו	fruit	7290058108879	אלמשהדאוי קינג סטור בע"מ	777039	אבוקדו אטינגר	14.9	אטינגר
avocado	אבוקדו	fruit	7290873255550	טיב טעם	4412647	אבוקדו	14.9	
avocado	אבוקדו	fruit	7291059100008	פוליצר	7290000000023	אבוקדו ישראלי	14.9	
avocado	אבוקדו	fruit	7290000000003	סיטי מרקט	7290010582723	אבוקדו	15.9	
avocado	אבוקדו	fruit	7290492000005	Dor Alon	7290000041162	אבוקדו	18.9	
avocado	אבוקדו	fruit	7290058177776	סופר יודה	7290000999957	אבוקדו	29.9	
banana	בננה	fruit	7290803800003	מ. יוחננוף ובניו	7290000000623	בננה	3.9	
banana	בננה	fruit	7290526500006	Dabach	7290000000036	בננה	9.9	
banana	בננה	fruit	7290103152017	אושר עד	7290009005417	בננות	9.9	
banana	בננה	fruit	7290700100008	חצי חינם	7290000014562	בננה	9.9	
banana	בננה	fruit	7290876100000	פרש מרקט	7290000999949	בננה	9.9	
banana	בננה	fruit	7290058140886	רמי לוי שיווק השקמה	7290000000134	בננה	9.9	
banana	בננה	fruit	7290027600007	שופרסל	7290000999937	בננה	9.9	
banana	בננה	fruit	7290873255550	טיב טעם	4412616	בננות	11.9	
banana	בננה	fruit	7291059100008	פוליצר	7290000000089	בננה ישראלי	11.9	
banana	בננה	fruit	7290058108879	אלמשהדאוי קינג סטור בע"מ	777104	בננה	14.9	
banana	בננה	fruit	7290492000005	Dor Alon	7290000041148	בננה	15.9	
banana	בננה	fruit	7290058177776	סופר יודה	7290000999949	בננה	16.9	
beetroot	סלק	veg	7290700100008	חצי חינם	7290000012964	סלק אדום	2.9	
beetroot	סלק	veg	7290103152017	אושר עד	7290009000405	סלק	3.9	
beetroot	סלק	veg	7290873255550	טיב טעם	4412791	סלק	4.9	
beetroot	סלק	veg	7290803800003	מ. יוחננוף ובניו	7290000000715	סלק	4.9	
beetroot	סלק	veg	7290058140886	רמי לוי שיווק השקמה	7290000000151	סלק אדום	4.9	
beetroot	סלק	veg	7290027600007	שופרסל	7290000000183	סלק	4.9	
beetroot	סלק	veg	7290526500006	Dabach	7290000000041	סלק אדום	5.9	
beetroot	סלק	veg	7290058108879	אלמשהדאוי קינג סטור בע"מ	777047	סלק	5.9	
beetroot	סלק	veg	7291059100008	פוליצר	7290000000012	סלק ישראלי	5.9	
beetroot	סלק	veg	7290876100000	פרש מרקט	7290000999916	סלק	6.9	
beetroot	סלק	veg	7290000000003	סיטי מרקט	7290003326037	סלק אורגני	7.9	organic; their only
beetroot	סלק	veg	7290058177776	סופר יודה	7290000999916	סלק	8.9	
broccoli	ברוקולי	veg	7290876100000	פרש מרקט	7290000999366	ברוקולי גן ירק במשקל	6.9	
broccoli	ברוקולי	veg	7290526500006	Dabach	7290000000563	ברוקולי תפזורת	8.9	
broccoli	ברוקולי	veg	7291059100008	פוליצר	7290000000059	ברוקולי משקל	19.9	
broccoli	ברוקולי	veg	7290455000004	HET_COHEN_NEW_SOURCE	7290000000626	ברוקולי טרי תפזורת	19.9	
broccoli-kosher	ברוקולי מהדרין	veg	7290058140886	רמי לוי שיווק השקמה	7290000148485	ברוקולי יבולי הכפר מ	24.9	
broccoli-kosher	ברוקולי מהדרין	veg	7290103152017	אושר עד	7290003996902	ברוקולי חסלט	29.9	
broccoli-kosher	ברוקולי מהדרין	veg	7290058156016	אבות אברהם בע"מ	996902	ברוקולי 1 קג סלט	29.9	
broccoli-kosher	ברוקולי מהדרין	veg	7290027600007	שופרסל	7290000975948	ברוקולי חסלט הלפרין	29.9	
broccoli-kosher	ברוקולי מהדרין	veg	7290492000005	Dor Alon	7290015983020	ברוקולי שדות בר	30	שדות בר, washed
broccoli-kosher	ברוקולי מהדרין	veg	7290639000004	סטופמרקט	7290015983020	שדות בר ברוקולי	30	שדות בר, washed
cabbage-red	כרוב אדום	veg	7290803800003	מ. יוחננוף ובניו	7290000000682	כרוב אדום	2.9	
